-0.00001667;0.00000016;0.00003482;0.00002123;-0.00000411;0.00001556;-0.00003896;0.00007515;
0.00001127;0.00003000;0.00002825;-0.00000731;-0.00005349;-0.00003655;-0.00002548;0.00001017;
-0.00001214;0.00002921;-0.00000116;-0.00002658;-0.00001111;-0.00001100;-0.00004343;0.00001084;
-0.00000313;-0.00000872;0.00002349;0.00000675;0.00002550;0.00002917;-0.00002287;0.00003342;
0.00001433;0.00001410;0.00004316;0.00000930;0.00000208;0.00000903;-0.00003693;0.00003438;
0.00002233;0.00001813;0.00002213;-0.00002403;-0.00005195;-0.00002584;-0.00007754;0.00001741;
0.00002642;0.00002322;0.00000945;0.00000042;-0.00003453;-0.00003002;-0.00005483;0.00002653;
0.00003970;0.00000349;0.00001435;0.00001920;-0.00001960;-0.00000159;-0.00001075;0.00003346;
0.00002494;0.00001413;0.00001348;-0.00000338;0.00000221;0.00001080;-0.00000230;0.00001629;
-0.00000004;0.00001913;0.00000608;0.00000836;-0.00000780;-0.00003138;-0.00003576;0.00002365;
0.00002318;0.00000581;0.00001169;-0.00002937;-0.00003415;-0.00005344;-0.00005706;0.00001395;
0.00000990;-0.00002195;-0.00000031;0.00001120;-0.00002244;-0.00005423;-0.00008941;0.00001442;
0.00002997;-0.00002747;-0.00000726;0.00002342;-0.00000145;-0.00000954;-0.00004249;0.00002030;
-0.00000440;-0.00005286;-0.00002814;-0.00002727;-0.00002380;-0.00002441;-0.00008404;-0.00001019;
0.00000664;-0.00006073;-0.00003601;-0.00002266;-0.00004683;-0.00000943;-0.00010078;-0.00002865;
0.00000838;-0.00002385;-0.00002253;-0.00000074;-0.00002079;0.00001746;-0.00007132;-0.00000512;
-0.00001860;-0.00001178;0.00001254;0.00003462;0.00002394;0.00003970;-0.00006225;0.00000834;
-0.00000932;-0.00003196;0.00001726;0.00002729;-0.00001227;-0.00001862;-0.00004088;-0.00000519;
-0.00000038;-0.00003022;-0.00002499;0.00000145;-0.00003248;0.00001486;-0.00004191;0.00000494;
0.00001817;0.00001160;-0.00005081;0.00001520;-0.00004245;0.00000389;-0.00006444;0.00004046;
0.00003628;0.00003281;-0.00004591;0.00005548;0.00000150;0.00003764;-0.00006270;0.00003210;
0.00002883;0.00002372;-0.00003583;0.00003793;-0.00001464;0.00004265;-0.00005870;0.00000438;
0.00004032;0.00001350;-0.00002928;-0.00000380;-0.00001075;0.00002070;-0.00004790;0.00001019;
0.00003485;0.00002007;-0.00003824;-0.00002497;-0.00005709;0.00004399;-0.00004694;0.00000402;
0.00001860;0.00000961;0.00000595;-0.00003581;-0.00001511;0.00006565;-0.00002977;0.00002155;
0.00003364;0.00002548;0.00000581;-0.00000458;0.00002108;0.00007401;-0.00004338;0.00003619;
0.00005371;0.00002532;-0.00003536;-0.00003561;0.00000232;-0.00000485;-0.00007331;0.00001750;
0.00006301;0.00004839;-0.00002823;-0.00005702;-0.00002005;0.00001770;-0.00007490;-0.00003163;
